2910326	Powertrane
260318	Tony Williams (2)
447575	Doc Bagby
1915399	Funkykarkurit
4115860	Fregate Orchestra
742467	Funny Bone
963610	Soul Clap
38047	Lain Gray
1264678	Christine Wyrtzen
502616	Abdel Kabirr
2323499	Alesha Dixon
1467348	Kimberly Scott
465732	Peter Link
2933381	Madame Pepper
1479965	JR &amp; PH7
937220	Amazing Pop Machine
1562435	Red Saunders &amp; His Orch.
587516	Ipi 'N Tombia
1693000	The Sweet Three
1838811	Loop (16)
1856973	Europa (8)
2045666	Del Jones' Positive Vibes
3009458	Amen Brother Disco Band
1463150	The Trademarks (3)
490513	B.J. Baker
1977002	JSOUL
1002773	Smaïn
62065	Robertinho Silva
1323404	Davy Jones (4)
2717759	Rudy Love And The Company Soul
667829	The Cliques
73756	Chude
51927	Jean Shy
364548	Joey Dee And The Starlighters
5606052	Amherst (2)
3169421	Howard Earl
3970691	Blues, Inc. Band
549361	Johnny Payne
5152308	Boddega
21906	Love Bug Star-Ski
361577	Tunji Oyelana
1146619	Toni Daly
808616	Jayne Kennedy
401285	Robert Upchurch
4657657	T. Solomon (3)
2688624	Garnell Cooper
4546118	Փօլ Պաղտատլեան
3169828	Karolina (12)
1429609	Latvijos Televizijos Ir Radijo Estradinis Orkestras
96151	Gina Thompson
18254	Kava Kava
2880077	Aru Takamura
1709962	Interactivo
16410	The K-Creative
564672	Future 2000
202048	John Cooper Clarke
5141118	The Band-Aides
3447436	Barbara Wells
1643442	The Drew-Vels
3370710	Luca Sapio
1515741	Jazz Fragment Praha
2346951	Yellow Autumn
2354471	Mnogaja-Leta
363037	Glashaus
271627	The Cookies
3409817	Dave Grundy Combo
354146	Hearts Of Stone
694259	Maurice McAlister
3032967	Soft Serve (2)
32454	The Jonzun Crew
137203	Yosuke Yamashita
52799	Rags &amp; Riches
1984154	Fiona Harriot
132600	Me Phi Me
214781	Nate James
786886	Hitomi &quot;Penny&quot; Tohyama
1693770	Preaching Singers
184197	Four 80 East
3380870	Sonoma (2)
1756293	Ron Tinsley
2303018	Carlton Pearson
179041	Dede Warwicke
431871	Teron Beal
4083756	The Green Brothers (2)
4751065	Alfa Mist
694723	The Ivorys
3944998	We Are Shining
9755	Tim &quot;Love&quot; Lee
127759	Julie Sims
