3138449	Samraw
71825	Hypo
110738	Suite Chic
3681905	Dutchess Of Defness
2264455	FM
38047	Lain Gray
1031979	City Rappers Band
2323499	Alesha Dixon
2683803	Thundamentals
1467348	Kimberly Scott
461556	Humaniztikz
182845	Vienio
131630	D.J. Pooh
1083596	Adam Tensta
1479965	JR &amp; PH7
1071398	Two X Strong
641214	Bleu DaVinci
427190	Eric Dikeb
239138	Liroy
1631561	Beastside Crew
238842	Lone
563310	Emma Feline
1175204	Dj Quik (3)
990664	D.M.F. Dangerous Mentality Forever
4378156	Quicksilver Cooley
7514	China
1047245	Vienio &amp; Pele
264133	Ghetto Philharmonic
1631140	DunDiggy
1497164	Wurzel 5
759798	Original M.C.
107491	MCSerch
230691	Soul Village
2662469	AstroLogical (2)
577047	Paulini
21906	Love Bug Star-Ski
820985	Gang Of Textbooks
315125	Tec-9
184149	Khayree
1716616	Sad City
93067	BOSE
242173	D.J. Drew
1493202	Brother Reade
96151	Gina Thompson
16410	The K-Creative
354967	Lucky Luciano
2020073	Camoflauge
1615988	Nicki Maraj
264536	People People
1113067	SickTanicK
243628	First Down
25654	MCD
185430	Pilot Balloon
363037	Glashaus
441932	Médine
1336411	Positive Charge
964428	Choobakka
75835	Rap Conscious
32454	The Jonzun Crew
267028	One Cause One Effect
368895	Ivory (4)
1714434	Captain Gips
107705	Wildchild (2)
1195922	Plush Bros.
1230850	Bez Cenzury
132600	Me Phi Me
270488	Dina D
329742	Hitman (5)
4778	Mary J Blige
1212938	Chimps Brothers
209286	Sean Garrett
4059920	2 Mello
98086	Mexican Institute Of Sound
48435	The Lost Boyz
683315	Killa Klump
495714	Dr. Ring-Ding &amp; The Senior Allstars
97976	Schadaraparr
4751065	Alfa Mist
109388	Apollonia
687134	Kick The Can Crew
3944998	We Are Shining
4830872	Them That Do
1837883	NoDōz
126035	Frank White
530943	Alesha
1175040	Asia Cruise
21431	Phlex
906781	Absztrakkt
1256256	Em-Cee (2)
210584	7 Samurai
797297	Dan Le Sac
515303	Jon Benjamin &quot;Jazz Daredevil&quot;
4578493	RobotDeck
231003	Dr Who Dat?
15687	Britney Spears
2535790	Sharif (6)
1558120	Killa Tribe
792657	Miki
11271	DJ Cam Quartet
111995	Duice
272597	Svinkels
3974823	SK-1 (4)
987838	Dre Kroon
41621	Jesse West
16408	Maxine Harvey
5177910	Akin
173445	Streetmass
30425	Zongamin
3076778	Max Graef
1707880	Rap Addix
3433692	Rukus (5)
2153261	Stimmgewitter Augustin
29245	John Davies
1659137	Жорик
5653213	Guerrilla Ghost
468847	Who See
94380	Russell Simmons
204457	Rock (3)
3866836	Hiob &amp; Morlockk Dilemma
45963	Rocksteady Crew
43469	Ranking Roger
1652500	Sublime Wizardry
285567	Reminder
607262	Da Smoove One
653032	James Deano
11151	Gunshot
273381	Hasan
377797	MC Nubian
87663	Marius No 1 &amp; Cora E
259444	Bliss (9)
624759	Who Cares
6277	Dido
4248928	Lil Chopper
61284	Organized Konfusion
206988	Timmy Gatling
174191	Toi
1177244	Tyga
2033584	Laveerre A.K.A. Kapteeni Mauser
623416	Nocando (3)
13880	Fat Boys/Hefty Posse
1504685	Ill Nature
321854	Livin' Proof
236753	Rich Fresh
740541	Da Great Deity Dah
668530	Tormento
5512157	Sam F (2)
328633	ABK
458392	Bon Garcon
797644	Bugz Of D12
978566	G2
513462	Ul'Team Atom
5474924	CONCLΔVE
1181082	Karst (3)
2461725	Jimmy Pé
3165554	The Girls &amp; Boo
226169	Kool DJ GQ
4651713	Morihiko Akiyama
3751939	BennyBen
2008663	Moa Pillar
3198963	August Alsina
2539406	Nocne Nagrania
537532	Tina (8)
1144475	Nosizwe
607358	Docta Bec
3122598	HiFi (2)
860540	Dee-N-Ice &amp; Co.
450605	Rhythm Makers Ltd.
3787125	Sabotage (26)
210896	Night + Day
215848	DJ Khéops
647019	Mux Mool
95080	Shawna
159108	Red Astaire
365346	SIC (4)
1476459	Knight Society
45041	M.C. Miker &quot;G&quot;
2421878	Liedfett
2894246	MRKD MEN
1625234	Deemi
5245334	Yulema
5973573	The Big Shot Noir
236526	MC Sharpness
1886329	M.C./A.C.
41206	Dr. Fresh
1081767	Musta Perjantai
14295	Pete Rock
1050671	Ebony (14)
191844	Aeroplanitaliani
216766	Cuizinier
3659716	Razzarap
3317815	Big Kurt
5341804	Creatures Of Habit (5)
197042	Media 101
2590	Bobby Konders
304230	Analogik
526527	Jakprogresso
2752378	IG Off &amp; Hazadous
219756	Alex Blood
4753356	Niykee Heaton
2254018	Kock D Zel
17865	Misia
346824	K. Cloud &amp; The Crew
3135298	Black Iyse
237908	Baby D (2)
323484	Floyd The Locsmif
933808	MJ Freeze
4628686	Tony-O
136896	Double D (3)
148528	Perfect
109366	Chief 1
1828276	Starchild (17)
398804	Park Slope
182224	Magic City DJ's
335225	Detroyt
4719	Roger Sanchez
1872795	Fiasco Andretti
2008191	Black Taboo
18123	Kool Keith
2772887	Azizi Gibson
674419	Mac Reese
319795	SupremeEx
3776222	HK &amp; Les Saltimbanks
2781095	Miller Boyz
13705	MC Det
3582530	Cracker Jon
99665	Vicious Rumor Club
190778	Too-B.M.F.
490416	New Jack Hustle
922072	Prime Minister
90177	Downtown Science
86303	Amplive
215502	Mascaria
4485348	Cynic The Apache
623417	The Paranorml
119228	N-Fecto
2625138	The Dredz
601918	SK (7)
8459	Skibadee
22915	Afrika Islam
489717	L.O.C.
5211460	Hellafied Funk Crew
234312	N.A.P.
3128936	twentyonepilots
489714	Klart Dér!
44004	Radiotitolati
319492	Ethix
1679606	Samurai (7)
219476	Mr. Wax Master Torey
2472325	Rufus Bellefleur
1082592	Кровосток
1185846	Cisco Kid (2)
3660875	White Gangster
1643661	Sookee
239377	The Art Of Origin
217758	The Radio Crew
3052979	Anser
83597	DJ Fangkiebassbeton
173656	Skhool Yard
3028367	The Glass Half
3249238	Great Dane (3)
4305393	Black Boss
1024210	The ChillTown Boys
16804	Konk
189377	D.J. Bones
2219899	Krimson Jihad
126078	Carole Davis
1021472	Mc Mack (2)
1177285	The Jones And Taylor Experience
1519416	Vanich
355810	John Reuben
82294	Tom Waits
252885	Jerry Flynn
53281	Rubberoom
1634442	The Madsquad
375046	Wrekonize
114339	2 Girls
601914	Ziko (2)
1261948	T. Martin P.
114916	Steve Gordon
819884	Potzee
2437593	Pumpshot
1113075	Razakel
1352687	20Hz
323297	Roc C
1333094	One5Sex
1112499	Ide (4)
143058	Pigeon John
3307330	Ugly Heroes (2)
172871	Aphillyation
2134872	Amir Sulaiman
812818	Gauge Man
2784505	Jamal©
65292	Cameron Paul
934385	Paul White (4)
4152024	Suoralinja
309726	Insolence (2)
3187683	Beyuz
239156	The Maniacs (2)
203125	Nick Nack
4995339	Bruce Li
52486	Busy Bee
1167363	Kontrast (5)
2053420	TRV$ DJ-AM
3835143	Gorilla Squad
4798900	Κανών
719755	Anonymous (12)
2859306	Pure Devocion
5105986	Carbon Carousel
180580	The Jazzhole
565416	Nicole Renée
277719	S-Type
2628920	Professor P &amp; DJ Akilles
94252	K-Solo
761935	Злой Dooh
2258984	FOD (2)
1400644	Rapper kC
259513	CodX
21742	Jay:Z
241650	Structure Rize
5518492	Seyed
534020	Pimp Daddy (2)
2664647	Zekwé
492310	TCO
1568992	IMC (2)
28559	TTC
1684629	Urata Naoya (AAA)
1559158	Wax (21)
81419	Tomekk
551894	Ombladon
2682006	Sjukstugan
22877	Rakim
4823038	Nick Brewer (3)
96333	Donald D
733393	Da Vibe (2)
757227	Les Little
828681	Smoke (11)
4253383	Roman Penpointz
248872	Brooklyn (4)
43796	Tyme
4813	T.C. Islam
953706	Lojique
258968	Darryl Jenifer
1682120	Y.T. Style (2)
2742944	Travis Scott (2)
2275242	Лион
217403	Cipha Sounds
609669	Sharkula
219412	Moods Dub Crew
4457984	Tenny
76081	Dee II &quot;The Amazonian One&quot;
1030973	Damu The Fudgemunk
4619900	Kris Kross Amsterdam
7707	CB Milton
60987	Protassov
1986016	Human Spam
3654540	Dirtbag Dan
2409927	Красное Дерево
175252	Jizzm
905451	Bird Peterson
3232723	Little Nikki
2130241	Rekami
408316	Uwe F
868741	Ishfaq
866854	M.O.B. (3)
1507724	Fun*dmental 03
915459	Incidents
218721	Too Lovely &amp; Cute
380938	Killer (5)
19828	Feist
4074	Peewee Ferris
957748	The Ah Club
184117	Sista (2)
508862	Juice (12)
92225	Esoteric (2)
836451	JS of 54th Platoon
214781	Nate James
3198869	Bloody Jay
282451	Combat Wombat
62557	G.J. Singulair
161538	Chris Biscuit
537508	L'Indis
5510977	Schafe &amp; Wölfe
2645462	ERK (4)
2819500	FDS
62427	Unity (2)
3365266	Julkinen Sana
5327879	₭ ₡ V $ V ∅ ¥
375384	Mr. Rhymes
433616	The Loft (2)
407441	SunN.Y.
548310	The East Coast Crew
1950744	Teielte
313974	The Deuce
21001	Puff Daddy &amp; The Family
2587156	Big Love (2)
358387	Kottonmouth Kings
145066	Sweet Pea
1807411	Zten Zikker Zwing
3122971	Griefjoy
1492393	Baby Drew
1593868	Blu (10)
530018	Kevlaar 7
2329671	Lady Emz
37343	Z-Trip
452555	The Surgeon
163731	Sol Uprising
1545805	Roc Trax Crew
394016	T.W.D.Y.
1082379	Вася Дэф
142152	D. Moet
65397	Late Night Magic
47309	dead prez
2967170	Cap Kendricks
3644676	Kooz (2)
169769	Scientists Of Sound
10302	Sporto Kantes
3771351	Flyer (13)
375329	What The Hell
493426	Ray
333593	The Snowgoons
21574	Trouble Funk
6036276	False Adults
1171247	V.I.P. (9)
1158573	Imam Thug
144277	Errol Brown
194009	Deliverance (2)
40431	Atoms Family
1672036	South Side Pride
1652975	Poppa Hopp
341732	Don Cannon
817164	Huckey
328576	5ive-O
390672	5 Ela
1459492	Luscious Ice
5329184	Pierce (11)
3301086	Bru-Skee
102196	Rino Latina II
5298230	Jazzquarterz
2418845	Slivanoë
235010	General Kane
598627	Lexx (2)
1445789	Amina
382556	Mad Fam'lee
19701	Melle Mel
2327326	Aileron
1217850	Tha Ateam
451935	Dinamo
5198313	Native Funk (2)
172742	DJ Tonk
144719	Rookie
113411	Iwere
230204	DC Talk
1157453	DJ D
621086	Evolve (3)
52190	Arkade Funk
5716460	Hill Side Playas
3654938	Brokenspeakers
630826	Tyron Ricketts
12467	Zap Mama
25141	Taura Love
395268	Harvey Lindo
67964	Safire
584924	J-Dawg
575229	Erci E
21073	Jan Hammer
2536873	Restless Leg Syndrome
4533784	Nolan The Ninja
52378	Psycho Les
1612739	Иезекииль 25:17
996613	Turi (3)
158786	Fam-Lay
2494	Five
57493	Iceman J
190409	C. Boogie Brown
1043	Paul Hunter
29060	Jamalski
1711524	J. Bond (2)
487773	Bink (2)
2786623	Murkage
240660	Teej
133866	Underground Kingz
2956838	Meller (3)
369539	DJ Murge
2753858	Apakalypse
173399	Butch Cassidy
1123202	Bullet Proof Sounds
1006801	Norbi
