2910326	Powertrane	na
260318	Tony Williams 	na
447575	Doc Bagby	Harry Bagby
1915399	Funkykarkurit	na
4115860	Fregate Orchestra	na
742467	Funny Bone	Calvin Arnold
963610	Soul Clap	na
38047	Lain Gray	Lain Gray
1264678	Christine Wyrtzen	na
502616	Abdel Kabirr	na
2323499	Alesha Dixon	Alesha Anjanette Dixon
1467348	Kimberly Scott	na
465732	Peter Link	na
2933381	Madame Pepper	na
1479965	JR &amp; PH7	na
937220	Amazing Pop Machine	na
1562435	Red Saunders &amp; His Orch.	na
587516	Ipi 'N Tombia	na
1693000	The Sweet Three	na
1838811	Loop 	na
1856973	Europa 	na
2045666	Del Jones' Positive Vibes	na
3009458	Amen Brother Disco Band	na
1463150	The Trademarks 	na
490513	B.J. Baker	Betty Jane Phillips
1977002	JSOUL	na
1002773	Smaïn	Sma\xc3\xafn Fa\xc3\xafrouze
62065	Robertinho Silva	na
1323404	Davy Jones 	na
2717759	Rudy Love And The Company Soul	na
667829	The Cliques	na
73756	Chude	na
51927	Jean Shy	Andria Jean Alexander
364548	Joey Dee And The Starlighters	na
5606052	Amherst 	na
3169421	Howard Earl	na
3970691	Blues, Inc. Band	na
549361	Johnny Payne	na
5152308	Boddega	Boddega
21906	Love Bug Star-Ski	Kevin W. Smith
361577	Tunji Oyelana	na
1146619	Toni Daly	Marie Antoinette Daly
808616	Jayne Kennedy	Jayne Harrison, Jayne Kennedy-Overton
401285	Robert Upchurch	na
4657657	T. Solomon 	na
2688624	Garnell Cooper	na
4546118	Փօլ Պաղտատլեան	na
3169828	Karolina 	Keren Avratz  (Hebrew: \xd7\xa7\xd7\xa8\xd7\x9f \xd7\x90\xd7\x91\xd7\xa8\xd7\xa5)
1429609	Latvijos Televizijos Ir Radijo Estradinis Orkestras	Latvijas Telev\xc4\xabzijas un Radio Estr\xc4\x81des Or\xc4\xb7estris
96151	Gina Thompson	Lugenia Thompson
18254	Kava Kava	na
2880077	Aru Takamura	na
1709962	Interactivo	na
16410	The K-Creative	na
564672	Future 2000	na
202048	John Cooper Clarke	na
5141118	The Band-Aides	na
3447436	Barbara Wells	na
1643442	The Drew-Vels	na
3370710	Luca Sapio	na
1515741	Jazz Fragment Praha	na
2346951	Yellow Autumn	na
2354471	Mnogaja-Leta	na
363037	Glashaus	na
271627	The Cookies	na
3409817	Dave Grundy Combo	na
354146	Hearts Of Stone	na
694259	Maurice McAlister	na
3032967	Soft Serve 	na
32454	The Jonzun Crew	na
137203	Yosuke Yamashita	Yosuke Yamashita
52799	Rags &amp; Riches	na
1984154	Fiona Harriot	na
132600	Me Phi Me	Chris Cuben-Tatum
214781	Nate James	Nathaniel James Harold Speas
786886	Hitomi &quot;Penny&quot; Tohyama	na
1693770	Preaching Singers	na
184197	Four 80 East	Four80East
3380870	Sonoma 	na
1756293	Ron Tinsley	na
2303018	Carlton Pearson	Carlton D&#39;metrius Pearson
179041	Dede Warwicke	Delia Mae Warrick
431871	Teron Beal	Teron O. Beal
4083756	The Green Brothers 	na
4751065	Alfa Mist	na
694723	The Ivorys	na
3944998	We Are Shining	na
9755	Tim &quot;Love&quot; Lee	Tim Lee
127759	Julie Sims	na
164526	Vince Edwards	na
1652293	Chief Boima	Boima Tucker
1210687	Heywood Cash	na
1175040	Asia Cruise	Asia Cruise
2949457	Mickey Holiday	na
70427	Speech Defect	na
210584	7 Samurai	na
1021696	Billy Wade And The 3rd Degrees	na
2459415	Elliot Hoffman 	na
425658	Skin Flesh &amp; Bones	na
15687	Britney Spears	Britney Jean Spears
1924157	The Sweet Baby Blues Band	na
462045	Afrodizz	Fran\xc3\xa7ois Plante, Fran\xc3\xa7ois Glidden, David Carbonneau, Vance Payne, Gabriel Aldama, Fr\xc3\xa8d\xc3\xa9 Simard, Fran\xc3\xa7ois Vincent, Jean-Phillipe Goncalves
16748	Eartha Kitt	Eartha Mae Kitt
1455805	Smoove &amp; Turrell	na
11271	DJ Cam Quartet	na
110626	Gene Pitney	Gene Francis Alan Pitney
522673	Monsieur Dubois	na
55571	Dee Heron	na
860050	Arnold Børud	Arnold B\xc3\xb8rud
354146	The Heart Of Stone	na
1311134	Dob Hugh	na
2759319	The Followers 	na
614946	Jo Jo Zep and the Falcons	na
3600835	Shep 	na
602873	Monica Aspelund	Monica Aspelund
1018174	Lada Edmund Jr.	Lada St. Edmund
778982	Alto 	na
3303576	Skurow	na
222783	L. Chachere	na
3771188	Free Press 	na
598550	Woodhands	na
3386859	Cha Cha Hogan	na
647868	Michael Quatro	na
764334	Greenfield	na
3668805	James Barnett 	na
330918	Ray Shell	Ayries Ray Shell
1283364	The Bradford Specials	na
2471240	I. A. P. Co.	na
3358902	The Sure Fire Soul Ensemble	na
3377880	Mister T 	Dimitris Tentinis
29895	Joe Gibbs &amp; The Professionals	na
2353942	Gilbert Deflez	na
1485416	Shoody	na
1581803	Don Harper 	na
320972	Gary Taylor	Gary Anthony Taylor
501727	Alan Shelly	na
62500	The Larks	na
391184	James &amp; Bobby Purify	na
4237708	The Checkers 	na
391084	Springers	na
510959	Bo Donaldson And The Heywoods	na
2650798	Bob Seger And The Last Heard	na
227402	Leslie McKeown	Leslie Richard McKeown
106309	Floyd Smith	Floyd Carl Smith
49106	Bym	Frank Stempka
3230968	Wave 	na
713959	Linas And Simona	Linas Adomaitis, Simona Jakub\xc4\x97nait\xc4\x97
138076	The Simón Orchestra	na
3203435	Taxi 	na
425604	Verdelle Smith	na
266768	Siegfried Schwab	na
11611	Sister Machine Gun	na
396805	Blanche Carter	na
372140	Toto Torquati	Antonio Torquati
3719237	Red Holloway Orch.	na
1966785	Gregg Stevens	na
664531	John E. Paul	na
297257	Leo Gandelman	Leonardo Gandelman
246618	Gene	Oliver Eugene Anderson
100779	Future Now	na
248147	Seawind Project	na
2277546	The Escalators	na
41269	Ron Banks	Ronald Dean Banks
1252286	The Minits	na
184833	Sandy Barber	Sandra Barber
15261	Aaron Neville	na
726894	NLF3	na
710973	Mad Dog Fire Department	na
957440	Ray Rodriguez 	Ray Rodriguez
311050	Angela Carole Brown	Angela Carole Brown
582204	The Final Approach	na
923908	Susan	na
