3138449	Samraw	na
71825	Hypo	na
110738	Suite Chic	Namie Amuro
3681905	Dutchess Of Defness	na
2264455	FM	na
38047	Lain Gray	Lain Gray
1031979	City Rappers Band	na
2323499	Alesha Dixon	Alesha Anjanette Dixon
2683803	Thundamentals	na
1467348	Kimberly Scott	na
461556	Humaniztikz	na
182845	Vienio	Piotr Wi\xc4\x99c\xc5\x82awski
131630	D.J. Pooh	Mark Jordan
1083596	Adam Tensta	Adam Momodou Eriksson Taal
1479965	JR &amp; PH7	na
1071398	Two X Strong	na
641214	Bleu DaVinci	na
427190	Eric Dikeb	na
239138	Liroy	Piotr Marzec
1631561	Beastside Crew	na
238842	Lone	Laurent Proneur
563310	Emma Feline	na
1175204	Dj Quik 	na
990664	D.M.F. Dangerous Mentality Forever	na
4378156	Quicksilver Cooley	na
7514	China	China Moses
1047245	Vienio &amp; Pele	na
264133	Ghetto Philharmonic	na
1631140	DunDiggy	Dan Kinto
1497164	Wurzel 5	na
759798	Original M.C.	na
107491	MCSerch	Michael Berrin
230691	Soul Village	na
2662469	AstroLogical 	Nate Drobner
577047	Paulini	Paulini Curuenavuli
21906	Love Bug Star-Ski	Kevin W. Smith
820985	Gang Of Textbooks	na
315125	Tec-9	Reginald Manuel
184149	Khayree	Khayree Shaheed
1716616	Sad City	Gary Caruth
93067	BOSE	na
242173	D.J. Drew	na
1493202	Brother Reade	na
96151	Gina Thompson	Lugenia Thompson
16410	The K-Creative	na
354967	Lucky Luciano	Christian Anthony Garcia
2020073	Camoflauge	Jason Johnson
1615988	Nicki Maraj	Onika Tanya Maraj
264536	People People	na
1113067	SickTanicK	Andreas Shrim
243628	First Down	na
25654	MCD	Darren James
185430	Pilot Balloon	na
363037	Glashaus	na
441932	Médine	M\xc3\xa9dine Zaouiche
1336411	Positive Charge	na
964428	Choobakka	na
75835	Rap Conscious	na
32454	The Jonzun Crew	na
267028	One Cause One Effect	na
368895	Ivory 	na
1714434	Captain Gips	Arne Ihlenfeld
107705	Wildchild 	Jack Brown
1195922	Plush Bros.	na
1230850	Bez Cenzury	na
132600	Me Phi Me	Chris Cuben-Tatum
270488	Dina D	na
329742	Hitman 	Ricky Herd
4778	Mary J Blige	Mary Jane Blige
1212938	Chimps Brothers	na
209286	Sean Garrett	na
4059920	2 Mello	Matthew Hopkins
98086	Mexican Institute Of Sound	Camilo Lara
48435	The Lost Boyz	na
683315	Killa Klump	na
495714	Dr. Ring-Ding &amp; The Senior Allstars	na
97976	Schadaraparr	\xe3\x82\xb9\xe3\x83\x81\xe3\x83\xa3\xe3\x83\x80\xe3\x83\xa9\xe3\x83\x91\xe3\x83\xbc
4751065	Alfa Mist	na
109388	Apollonia	Patricia Kotero
687134	Kick The Can Crew	na
3944998	We Are Shining	na
4830872	Them That Do	na
1837883	NoDōz	na
126035	Frank White	Patrick Losensky
530943	Alesha	Alesha Anjanette Dixon
1175040	Asia Cruise	Asia Cruise
21431	Phlex	na
906781	Absztrakkt	Claudio Naber
1256256	Em-Cee 	na
210584	7 Samurai	na
797297	Dan Le Sac	Daniel Stephens
515303	Jon Benjamin &quot;Jazz Daredevil&quot;	na
4578493	RobotDeck	na
231003	Dr Who Dat?	na
15687	Britney Spears	Britney Jean Spears
2535790	Sharif 	na
1558120	Killa Tribe	na
792657	Miki	na
11271	DJ Cam Quartet	na
111995	Duice	na
272597	Svinkels	na
3974823	SK-1 	na
987838	Dre Kroon	Andre M. Smith
41621	Jesse West	Jesse Samuel Williams III
16408	Maxine Harvey	na
5177910	Akin	Magnus Jensen
173445	Streetmass	Mads Ebdrup
30425	Zongamin	Susumu Mukai
3076778	Max Graef	na
1707880	Rap Addix	na
3433692	Rukus 	na
2153261	Stimmgewitter Augustin	na
29245	John Davies	na
1659137	Жорик	na
5653213	Guerrilla Ghost	na
468847	Who See	na
94380	Russell Simmons	Russell Wendell Simmons
204457	Rock 	Jahmal Bush
3866836	Hiob &amp; Morlockk Dilemma	na
45963	Rocksteady Crew	na
43469	Ranking Roger	Roger Charlery
1652500	Sublime Wizardry	na
285567	Reminder	Joshua Mikah Abrams
607262	Da Smoove One	na
653032	James Deano	Olivier Nardino
11151	Gunshot	na
273381	Hasan	Hasan Johnson
377797	MC Nubian	na
87663	Marius No 1 &amp; Cora E	na
259444	Bliss 	na
624759	Who Cares	na
6277	Dido	Dido Florian Cloud de Bounevialle O&#39;Malley Armstrong
4248928	Lil Chopper	na
61284	Organized Konfusion	na
206988	Timmy Gatling	na
174191	Toi	LaToiya Ren\xc3\xa9e Williams
1177244	Tyga	Michael Stevenson
2033584	Laveerre A.K.A. Kapteeni Mauser	Lauri Henriks\xc3\xa9n
623416	Nocando 	James Robert McCall
13880	Fat Boys/Hefty Posse	na
1504685	Ill Nature	na
321854	Livin' Proof	na
236753	Rich Fresh	Richard Irvine
740541	Da Great Deity Dah	Damola Idowu
668530	Tormento	Massimiliano Cellamaro
5512157	Sam F 	na
328633	ABK	James Lowery
458392	Bon Garcon	Lonyo Engele &amp; Kevin McPherson
797644	Bugz Of D12	Karnail Paul Pitts
978566	G2	na
513462	Ul'Team Atom	na
5474924	CONCLΔVE	Justin Craig
1181082	Karst 	na
2461725	Jimmy Pé	Juraj Hrabal
3165554	The Girls &amp; Boo	na
226169	Kool DJ GQ	Michael Gondorf
4651713	Morihiko Akiyama	na
3751939	BennyBen	Joel Myllykoski
2008663	Moa Pillar	Feodor Pereverzev
3198963	August Alsina	na
2539406	Nocne Nagrania	na
537532	Tina 	na
1144475	Nosizwe	Nosizwe Baqwa
607358	Docta Bec	na
3122598	HiFi 	na
860540	Dee-N-Ice &amp; Co.	na
450605	Rhythm Makers Ltd.	na
3787125	Sabotage 	Henrik Paulsson
210896	Night + Day	na
215848	DJ Khéops	\xc3\x89ric Mazel
647019	Mux Mool	Brian Lindgren
95080	Shawna	Rashawnna Guy
159108	Red Astaire	na
365346	SIC 	na
1476459	Knight Society	na
45041	M.C. Miker &quot;G&quot;	Lucien Witteveen
2421878	Liedfett	Daniel Michel, Lukas Uecker and Philipp P\xc3\xb6hner
2894246	MRKD MEN	na
1625234	Deemi	Tahu Jessica Aponte
5245334	Yulema	Yulema Ramirez
5973573	The Big Shot Noir	na
236526	MC Sharpness	na
1886329	M.C./A.C.	na
41206	Dr. Fresh	Lester Shockley
1081767	Musta Perjantai	na
14295	Pete Rock	Peter O. Philips
1050671	Ebony 	na
191844	Aeroplanitaliani	na
216766	Cuizinier	Alexandre Miranda
3659716	Razzarap	na
3317815	Big Kurt	Kurt Vachon
5341804	Creatures Of Habit 	na
