821305	Des O'Connor	Desmond Bernard O&#39;Connor
3530259	Yes Ma'am 	na
661725	David Carroll	Rodell Walter Nook Schreier
260318	Tony Williams 	na
3310203	The Benny Bailey Quartet	na
447575	Doc Bagby	Harry Bagby
967851	We Insist!	na
4115860	Fregate Orchestra	na
2345803	Intersection 	na
2474591	Bosko Petrovic's Nonconvertible All Stars	na
341530	Ray Pitts	Raymond Bernard Pitts
2323499	Alesha Dixon	Alesha Anjanette Dixon
28903	Omar Faruk Tekbilek	Omar Faruk Tekbilek
835977	Jean-Yves Thibaudet	na
19590	Sabu	Louis Martinez
862460	Ronald Shannon Jackson	na
1829482	The Laurie Holloway Trio	na
295402	Richard Abrams	Muhal Richard Abrams
2215388	Joseph Volmer	Joseph Volmer
1562435	Red Saunders &amp; His Orch.	na
3087018	Andre Montero And His Orchestra	na
313151	Cootie Williams &amp; His Rug Cutters	na
316872	Charles Spearin	Charles Ivan Jay Spearin
1212816	Carnascialia	na
3186589	Los Lobotomys	na
4374805	Organ Explosion	na
567919	Ted Curson &amp; Co	na
836847	Mike Taylor Quartet	na
1464015	Charlie Smith Trio	na
432053	Heinrich Heine	Christian Johann Heinrich Heine n\xc3\xa9e Harry Heine
348639	Honor Blackman	na
2486496	Selvhenter 	na
214402	Gerry Hemingway	na
918346	Louie Ramirez &amp; His Orchestra	na
1586700	Виктор Епанешников	\xd0\x92\xd0\xb8\xd0\xba\xd1\x82\xd0\xbe\xd1\x80 \xd0\x90\xd0\xbb\xd0\xb5\xd0\xba\xd1\x81\xd0\xb5\xd0\xb5\xd0\xb2\xd0\xb8\xd1\x87 \xd0\x95\xd0\xbf\xd0\xb0\xd0\xbd\xd0\xb5\xd1\x88\xd0\xbd\xd0\xb8\xd0\xba\xd0\xbe\xd0\xb2
62065	Robertinho Silva	na
290371	Will Boulware	na
1428264	Don Friedman Trio	na
4236885	Flávio Pantoja	na
643980	György Szabados	na
425005	Nicole Mitchell	Nicole Mitchell
455885	Bartkowski	Czes\xc5\x82aw Bartkowski
5605421	Monk Hazel And His New Orleans Jazz Kings	na
458876	Carol Sloane	Carol Sloan n\xc3\xa9e Morvan
265387	Perkins	William Perkins
682454	Pinski Zoo	Jan Kopinski
316500	Theo Bleckmann	na
31615	Fitzgerald	Ella Jane Fitzgerald
542342	Avishai Cohen	na
317885	Red Nichols And His Five Pennies	na
1385010	Владимир Рубашевский	\xd0\x92\xd0\xbb\xd0\xb0\xd0\xb4\xd0\xb8\xd0\xbc\xd0\xb8\xd1\x80 \xd0\x93\xd1\x80\xd0\xb8\xd0\xb3\xd0\xbe\xd1\x80\xd1\x8c\xd0\xb5\xd0\xb2\xd0\xb8\xd1\x87 \xd0\xa0\xd1\x83\xd0\xb1\xd0\xb0\xd1\x88\xd0\xb5\xd0\xb2\xd1\x81\xd0\xba\xd0\xb8\xd0\xb9
1484380	Barney Bigard And His Jazzopators	na
1871491	The Troubadors	na
4657657	T. Solomon 	na
598384	Le K 	Sylvain Garcia
431085	Aldemaro Romero And His Salon Orchestra	na
4842205	Wei Wu Wei	na
3169828	Karolina 	Keren Avratz  (Hebrew: \xd7\xa7\xd7\xa8\xd7\x9f \xd7\x90\xd7\x91\xd7\xa8\xd7\xa5)
1429609	Latvijos Televizijos Ir Radijo Estradinis Orkestras	Latvijas Telev\xc4\xabzijas un Radio Estr\xc4\x81des Or\xc4\xb7estris
1709962	Interactivo	na
265635	The First Harry James Band Of 1939	na
3753447	Marty Grosz And His Honoris Causa Jazz Band	na
551122	Dieter Roth 	Karl-Dietrich Roth
1105612	Noetics	na
337045	Mrs. Miller	na
2283122	Orchester Nils Kjellström	na
2532657	Paul Desmond With Strings	na
658353	Marinho Boffa	na
2860793	Takesi Inomata &amp; Sound Limited	na
2333922	Edmond Hall And His Orchestra	na
378531	Kukkiva Poliisi	na
1329091	Charlie Bleak	na
728297	Radikal Satan	Radikal Satan
137203	Yosuke Yamashita	Yosuke Yamashita
2008920	Laszlo Gardony	Laszlo Gardony
642908	Musicians From Pakistan	na
511832	Mamie Smith And Her Jazz Hounds	na
3504745	Clifford Jordan &amp; The Magic Triangle	na
3842527	Freddie Kohlman's Band	na
2189930	Gene Krupa Sextet	na
346430	Dieter Ilg	na
755124	Guy Jackson 	na
4778	Mary J Blige	Mary Jane Blige
1930350	Michael Weiss Quintet	na
2671	Nitin Sawhney	Nitin Sawhney
184197	Four 80 East	Four80East
335543	Jan Savitt And His Top Hatters	na
310212	Michael Sammes Singers	Michael William Sammes
799674	Nico Haak En De Paniekzaaiers	na
1670383	The Misterons	na
1471123	July Mateo	na
300121	Dave Sinclair	na
4751065	Alfa Mist	na
4451608	Project G-7	na
885832	The Burton Greene Trio	na
318340	Freek de Jonge	Frederik Jan Georg de Jonge
2045169	Tatsuya Nakamura Quartet	na
2104791	Chorus	na
333642	Jack Lemmon	John Uhler Lemmon III
4639165	C. Vogt	na
4045166	The Electric Birds	na
2357102	Mae Barnes	na
3277618	The Gospel Pearls	na
410038	Malcolm Arnold	Sir Malcolm Henry Arnold, CBE
27515	Percy Faith &amp; His Orch.	na
1515762	Mirka Křivánková	Miroslava K\xc5\x99iv\xc3\xa1nkov\xc3\xa1
257304	Jim Pepper	James G. Pepper
2459415	Elliot Hoffman 	na
515303	Jon Benjamin &quot;Jazz Daredevil&quot;	na
2253048	Newland	na
359472	Leon Young	Leon Edward Stephen Young
1888151	John Renbourn, Stefan Grossman	na
1778694	Jad Paul	na
1924157	The Sweet Baby Blues Band	na
359738	3EEM	na
255027	Brother Malachi Favors Magoustous	Malachi Favors Maghostut
1266089	Ibis 	na
16748	Eartha Kitt	Eartha Mae Kitt
11271	DJ Cam Quartet	na
110626	Gene Pitney	Gene Francis Alan Pitney
3370049	William Aura &amp; Friends	na
2497202	The New Sound Quartet	na
115995	Erik Wøllo	Erik W\xc3\xb8llo
898461	Toshinori Kondo &amp; IMA	na
1268447	Michel Perez	na
602873	Monica Aspelund	Monica Aspelund
778982	Alto 	na
3076778	Max Graef	na
1349070	Birchwood Pops	na
280447	Chris Abrahams	na
1476286	Gloria De Haven	Gloria Mildred DeHaven
378212	Thurman Barker	na
3617543	The Rene Paulo Group	na
3766214	Sato-San To	na
307341	McKinney's Cotton Pickers	na
910054	Art Hodes	Arthur W. Hodes.
4217259	Г. Гълъбов	na
254908	Ray Eberle	Ray Eberle
5878790	原始人セラピー	na
17827	Eric Clapton	Eric Patrick Clapton
4564147	Инга Донцова	na
3358902	The Sure Fire Soul Ensemble	na
4722316	Josh Berman Trio	na
4135962	Naomi Maki	na
4589949	Jazz Quartet Of Szekszárd	Szeksz\xc3\xa1rdi Jazz Quartet
3730418	Raiz De Pedra	na
1485416	Shoody	na
1581803	Don Harper 	na
2862239	Tommy Chase - Ray Warleigh Quartet	na
423298	R. A. Ramamani	Smt. R. A. Ramamani
304396	Björn J:Son Lindh	Bj\xc3\xb6rn J:son Lindh
2670415	Tony DeSare	na
1954986	Noisesurfer	Joaquin Ronco
222765	David Kirby	David Kirby
888023	Strobel	na
2271277	Keshavan Maslak Quartet	na
1371234	Frank Davenport And His Orchestra	na
427048	Romane	Patrick Leguidecoq
3354703	Gerald Wiggins &amp; His Orchestra	na
3373003	Chung Antique	na
1811231	Clockwork 	Clockwork
3496402	John Warren's Strictempo Orchestra	na
424773	Fernando Trueba	Fernando Rodr\xc3\xadguez Trueba
624847	The Herb Pomeroy Orchestra	Irving Herbert Pomeroy III.
266768	Siegfried Schwab	na
2953121	Mario Hernandez Y Sus Diablos Del Caribe	na
2054727	-123min	na
65630	Vandermark 5	na
283174	Bunny Berigan &amp; His Orchestra	na
840892	Miles Davis &amp; His Band	na
274470	Ben Chasny	na
77631	Cobblestone Jazz	na
780919	The WDR Big Band Köln	na
301357	Eddie Lang	Salvatore Massaro
2095136	Réwéliotty	na
297257	Leo Gandelman	Leonardo Gandelman
680928	Oliver Mtukudzi	Oliver Mtukudzi
248147	Seawind Project	na
2277546	The Escalators	na
1979002	The Jazz Trio	na
141967	Skúli Sverrisson	Sk\xc3\xbali Sverrisson
1168640	Gunnar Lundén-Weldens Orkester	na
2439631	Chairs	na
15261	Aaron Neville	na
218703	Kobayashi 	na
311050	Angela Carole Brown	Angela Carole Brown
1965751	Bernard Lubat Quartet	na
1818168	Hans Kollers New Jazz Stars	na
876187	Bootstrappers	na
460331	Kurt Widmann Und Sein Orchester	na
769527	Allen Lowe	na
2993931	Mabumi Yamaguchi Quartet	na
1181082	Karst 	na
2529402	Artur Bayramgalin	Artur Bayramgalin
3015108	Ludwig Band	na
1406041	Джаз-Оркестр Под Руководством Иосифа Вайнштейна	na
1477449	Franco Petracchi	Franco Petracchi
2477452	Garry Blake &amp; His Music	na
441544	Friedemann	Friedemann Witecka
292996	Joe Gordon	Joseph Henry Gordon
5245277	The Jazz Millers	na
5845474	Bob Jackson 	na
3457587	Lars Sjösten Octet	na
1277416	The Glen Gray Casa Loma Orchestra	na
1468628	The Monty Sunshine Quartet	na
38237	Icarus 	na
