movie	year	ratingcount	cast
tt0240830	1993	0	
tt1050247	1992	0	
tt0171577	1981	34	nm1614591
tt0247837	1981	0	
tt0247597	1980	0	
tt0247777	1980	0	
tt0243213	1980	6	nm0951559
tt0243502	1980	0	
tt0247221	1979	0	
tt0247252	1979	0	
tt0171758	1979	6	nm1614591
tt0247289	1978	0	
tt0171802	1977	0	
tt0238086	1977	0	
tt0238538	1976	0	
tt0247677	1976	0	
tt0171792	1976	0	
tt0074764	1976	0	
tt0243680	1971	0	
tt0182521	1968	None	nm0504817
tt0182523	1967	0	
tt0250817	1967	9	nm0504817
tt0243544	1966	18	nm0687298
tt0176155	1962	485	nm0880151
tt0173013	1962	14	nm0470729
tt0215889	1942	18	nm0162272
