movie	year	ratingcount	cast
tt5960820	2016	0	
tt5837420	2016	0	
tt7246078	2017	0	
tt2268018	2016	17	nm3987941,nm4908472
tt6523736	2016	0	
tt2302701	2015	20	nm3259276
tt4779824	2015	0	
tt6126248	2015	0	
tt4375114	2015	31	nm2269246
tt4172402	2015	4088	nm4017230
tt4772802	2015	0	
tt4863872	2014	0	
tt3078950	2013	11	nm5328855
tt3282972	2013	0	
tt2556840	2013	14	nm4639316
tt2974626	2013	5	nm0726701
tt2960260	2013	0	
tt2334557	2012	0	
tt2460980	2012	28	nm5328855
tt2204578	2012	40	nm3454405
tt2559094	2012	0	
tt2355851	2012	8	nm0726701
tt2461462	2012	125	nm2616669
tt1919200	2011	0	
tt1987682	2011	38	nm3454405
tt1883387	2011	20	nm2362368
tt1633270	2010	0	
