movie	year	ratingcount	cast
tt5712152	2016	100	nm0209010
tt5038508	2016	9	nm0209010,nm4529864
tt2952490	2014	74	nm0209010
tt3488034	2013	0	
tt3124464	2013	0	
tt2186787	2011	0	
tt1465490	2010	189	nm0209010
tt1503046	2009	0	
tt1270799	2008	196	nm0209010
tt1100908	2007	172	nm0209010
tt0453340	2005	72	nm0079560,nm0209010,nm1179482,nm0894146,nm0044651,nm1907681,nm0311696,nm0355960,nm0395483,nm1079051,nm0646409,nm0775688,nm1335774,nm0856124,nm0872328,nm1589704,nm0412940,nm0453330
tt0159290	2004	463	nm0209010
tt0264121	2001	168	nm0209010
tt0210817	1999	7	nm0209010
tt2000098	1997	0	
tt0123001	1997	73	nm0209010
tt0116874	1996	0	
tt0109189	1994	6	nm0209010
tt0111291	1994	0	
tt0107083	1993	14	nm0209010
tt0219827	1990	7	nm0209010
