movie	year	ratingcount	cast
tt6303910	2017	0	
tt6287466	2016	0	
tt6688028	2017	0	
tt6942224	2017	0	
tt5028632	2017	0	
tt5470474	2016	0	
tt6111250	2016	6	nm0255904
tt5022680	2015	817	nm2156502,nm2629535,nm2795237,nm0002911,nm4539541,nm3303482,nm3304337,nm0636171,nm3952461,nm3655917,nm0746016
tt2690062	2013	12	nm0450123
tt1855982	2012	72	nm1869368
tt2371228	2012	0	
tt1478484	2011	12	nm3544851
tt1830824	2011	10	nm0101931
tt1500156	2009	0	
tt1343324	2009	13	nm0255904
tt0492896	2009	1223	nm0588206
tt1339552	2008	0	
tt1279077	2008	8	nm0305165
tt0811036	2008	151	nm0129673
tt0960755	2007	0	
tt0946985	2007	18	nm1536239,nm1575001
tt0468876	2005	64	nm0654573
tt0462434	2005	20	nm0052113
tt1429158	2005	0	
tt0791139	2005	12	nm0541449
tt0372974	2004	30	nm0101931
tt0353730	2003	13	nm0874164
tt0316877	2003	11	nm0314910
tt0374218	2003	18	nm0025749
tt0309594	2003	20	nm0774509
