movie	year	ratingcount	cast
tt6121010	1982	0	
tt0807468	1984	0	
tt0239568	1983	0	
tt2953282	1980	0	
tt0518587	1983	0	
tt0063967	1969	15	nm0322503,nm0236930,nm0242409
tt0640904	1967	0	
tt0657711	1962	0	
tt0935150	1962	5	nm0282984
tt0511933	1961	0	
tt0556864	1959	0	
tt0044265	1982	1141	nm1273119,nm0581589,nm1314913,nm1343326,nm0778479,nm1513459,nm0004098,nm0213789,nm1765902,nm2036776,nm1335675,nm2552851,nm0297489,nm2681961,nm0571983,nm0834419,nm0281224,nm0884037,nm0250864,nm2965623,nm0963061,nm3174789,nm0925870,nm0224683,nm1597578,nm0100841,nm1334802,nm0159012,nm0179413,nm0331135,nm0332752,nm0369858,nm0923396
